Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
The settlement was approved by a federal judge.,8,99.00,50.00,1.00,99.00,8.00,37.50,75.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Becerra’s statement, “it needlessly endangered our children, our loved ones and our men and women in law enforcement,” is preposterous left-wing political argle-bargle.",25,41.39,99.00,6.70,91.14,25.00,32.00,64.00,32.00,16.00,12.00,0.00,12.00,0.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,8.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,28.00,16.00,0.00,12.00,0.00,0.00,4.00,4.00,0.00,8.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,4.00,12.00,0.00,0.00,0.00,0.00,8.00,8.00,4.00,0.00,0.00
"I suspect the Washington judge’s stay will be overturned on appeal, but certainly will if it makes it to the Supreme Court.",22,57.84,8.65,61.34,99.00,22.00,22.73,77.27,54.55,13.64,4.55,4.55,0.00,0.00,0.00,0.00,9.09,9.09,9.09,13.64,0.00,9.09,0.00,22.73,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.73,4.55,4.55,4.55,4.55,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,9.09,9.09,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
The federal government has no standing to restrict speech in this manner.,12,93.26,20.24,1.79,25.77,12.00,33.33,66.67,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,16.67,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"–BL",1,93.26,50.00,1.00,25.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FBI Arrests 5 Muslims From New Mexico Jihad Compound Days After Multiple Charges Were Dropped,15,97.53,50.00,43.37,25.77,15.00,40.00,53.33,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,0.00,0.00,6.67,13.33,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Just days after a district judge dropped all charges against three of the Muslim jihadis at the New Mexico terror compound where a child was killed and 11 other children were being trained to commit jihad in mass school shootings, the Federal Bureau of Investigation has stepped up to arrest five Islamists, but the charges are no longer the same.",60,98.14,36.95,65.14,1.03,60.00,23.33,83.33,45.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.67,11.67,15.00,8.33,3.33,3.33,1.67,8.33,6.67,5.00,1.67,5.00,1.67,3.33,0.00,3.33,1.67,1.67,0.00,3.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,3.33,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,3.33,5.00,0.00,18.33,1.67,11.67,5.00,5.00,0.00,0.00,1.67,6.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Remember, this all occurred because the district attorney failed to file for a preliminary hearing within 10 days and didn’t even bother to show up for court.",27,97.84,35.54,58.07,1.00,27.00,25.93,77.78,48.15,3.70,0.00,0.00,0.00,0.00,0.00,0.00,3.70,7.41,22.22,3.70,3.70,7.41,3.70,7.41,0.00,0.00,0.00,3.70,3.70,7.41,0.00,7.41,0.00,3.70,3.70,3.70,0.00,0.00,0.00,0.00,14.81,3.70,3.70,0.00,0.00,3.70,3.70,7.41,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,7.41,0.00,3.70,7.41,0.00,0.00,14.81,0.00,11.11,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00
CBN reports:,2,93.26,50.00,1.00,25.77,2.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
take our poll - story continues below Who should replace Nikki Haley as our ambassador to the U.N.?,18,75.90,99.00,4.97,25.77,18.00,16.67,72.22,50.00,22.22,16.67,0.00,11.11,5.56,0.00,0.00,5.56,5.56,16.67,5.56,0.00,5.56,0.00,11.11,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,5.56,5.56,0.00,0.00,11.11,0.00,16.67,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00
Who should replace Nikki Haley as our ambassador to the U.N.?,12,62.04,99.00,1.00,25.77,12.00,16.67,66.67,58.33,25.00,16.67,0.00,8.33,8.33,0.00,0.00,8.33,8.33,16.67,8.33,0.00,8.33,0.00,8.33,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,25.00,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00
Who should replace Nikki Haley as our ambassador to the U.N.?,12,62.04,99.00,1.00,25.77,12.00,16.67,66.67,58.33,25.00,16.67,0.00,8.33,8.33,0.00,0.00,8.33,8.33,16.67,8.33,0.00,8.33,0.00,8.33,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,25.00,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00
"* John Bolton Richard Grenell Dina Powell Heather Nauert Ivanka Trump",10,93.26,50.00,1.00,25.77,10.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
Email *,1,93.26,99.00,1.00,25.77,1.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Name This field is for validation purposes and should be left unchanged.,12,18.82,79.76,1.00,25.77,12.00,25.00,75.00,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,25.00,0.00,8.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,16.67,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,8.33,16.67,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Completing this poll grants you access to Freedom Outpost updates free of charge.,13,93.26,93.79,1.40,99.00,13.00,30.77,61.54,30.77,15.38,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You may opt out at anytime.,6,93.26,99.00,99.00,25.77,6.00,16.67,83.33,66.67,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,50.00,0.00,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You also agree to this site's Privacy Policy and Terms of Use.,12,38.60,95.20,1.00,99.00,12.00,8.33,75.00,50.00,16.67,8.33,0.00,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,8.33,16.67,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
"SANTA FE, N.M. (AP) - Federal prosecutors say the FBI has arrested five former residents of a ramshackle compound in New Mexico on firearms and conspiracy charges as local prosecutors dropped charges in the death of a 3-year-old boy at the property.",44,99.00,67.52,46.36,25.77,22.00,29.55,54.55,31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.36,15.91,2.27,0.00,4.55,0.00,4.55,6.82,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,4.55,0.00,20.45,0.00,11.36,9.09,0.00,0.00,2.27,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,20.45,6.82,2.27,0.00,0.00,0.00,0.00,6.82,0.00,0.00,4.55,0.00
Taos County District Attorney Donald Gallegos said Friday his office will now seek grand jury indictments involving the death.,19,77.17,94.27,19.27,97.58,19.00,26.32,63.16,21.05,5.26,5.26,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,5.26,5.26,0.00,0.00,10.53,5.26,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,5.26,21.05,0.00,10.53,10.53,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gallegos said seeking indictments will allow more time to gather evidence.,11,93.26,96.52,31.94,25.77,11.00,36.36,72.73,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
All five people will remain in custody pending a Tuesday hearing in federal court.,14,99.00,92.33,52.86,25.77,14.00,35.71,64.29,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,21.43,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The U.S. Attorney's Office in Albuquerque said compound resident Jany Leveille has been charged with being an alien unlawfully in possession of firearms and ammunition.,25,98.05,65.56,1.59,25.77,25.00,40.00,52.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,16.00,12.00,0.00,4.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,8.00,0.00,8.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
She is a Haitian national.,5,52.71,97.69,1.00,25.77,5.00,40.00,80.00,60.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The other four members are charged with conspiring with Leveille.,10,98.58,50.00,3.37,25.77,10.00,40.00,70.00,50.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,20.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
And the death of the three-year-old?,8,99.00,50.00,74.76,25.77,8.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,12.50,0.00,25.00,0.00,0.00,0.00,0.00
Nothing!,1,1.00,1.00,1.00,25.77,1.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
And what of the training of little jihadis?,8,99.00,50.00,7.84,25.77,8.00,25.00,87.50,62.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
Nothing!,1,1.00,1.00,1.00,25.77,1.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
"“The defendants, Jany Leveille, 35, a Haitian national illegally present in the United States, Siraj Ibn Wahhaj, 40, Hujrah Wahhaj, 37, Subhanah Wahhaj, 35, and Lucas Morton, 40, are charged in a criminal complaint that was filed earlier today in the U.S. District Court for the District of New Mexico,” the bureau said in a statement.",56,99.00,63.97,52.86,1.00,56.00,25.00,55.36,32.14,1.79,0.00,0.00,0.00,0.00,0.00,0.00,1.79,14.29,10.71,3.57,0.00,1.79,0.00,7.14,5.36,1.79,0.00,8.93,0.00,3.57,0.00,3.57,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,1.79,1.79,0.00,0.00,0.00,0.00,0.00,1.79,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,1.79,0.00,1.79,5.36,5.36,0.00,19.64,0.00,12.50,7.14,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.14,5.36,23.21,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00
"“The criminal complaint charges Jany Leveille with being an alien unlawfully in possession of firearms and ammunition in the District of New Mexico from Nov. 2017 through Aug. 2018,” the bureau said.",32,99.00,73.40,7.84,1.42,10.67,31.25,59.38,40.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,21.88,3.12,0.00,3.12,0.00,6.25,3.12,0.00,0.00,6.25,0.00,3.12,0.00,3.12,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,3.12,0.00,0.00,3.12,0.00,0.00,12.50,0.00,9.38,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,9.38,3.12,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00
"“The criminal complaint charges the other four defendants with aiding and abetting Leveille in committing the offense, and with conspiring with Leveille to commit the offense.”",26,99.00,50.00,1.40,1.00,26.00,42.31,76.92,46.15,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,15.38,19.23,0.00,0.00,7.69,0.00,3.85,0.00,0.00,0.00,3.85,0.00,15.38,0.00,15.38,0.00,7.69,0.00,3.85,0.00,0.00,0.00,0.00,11.54,0.00,0.00,0.00,0.00,7.69,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,3.85,0.00,3.85,0.00,3.85,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,3.85,3.85,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00
